Start Time,Fri Nov 25 08-46-43 2011,Offset,08:46:44 minus 576 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 779, 442, 244, 1465, 0, 2, 1, 1, 41831, 20003, 20003,
001,2,2, 352, 475, 516, 1343, 0, 2, 1, 1, 62515, 20003, 20003,
001,2,3, 545, 515, 143, 1203, 0, 2, 1, 1, 83143, 20003, 20003,
001,2,4, 715, 265, 387, 1367, 0, 2, 1, 1, 103827, 20003, 20003,
001,2,5, 822, 876, 635, 2333, 0, 2, 1, 1, 124509, 20003, 20003,
001,2,6, 873, 746, 834, 2453, 0, 2, 1, 1, 145192, 20003, 20003,
001,2,7, 921, 521, 375, 1817, 0, 2, 1, 1, 165876, 20003, 20003,
001,2,8, 544, 348, 423, 1315, 0, 2, 1, 1, 186558, 20003, 20003,
001,2,9, 359, 827, 849, 2035, 0, 2, 1, 1, 207241, 20003, 20003,
