"Start Time","Tue Nov 22 09:43:39 2011","09:43:38 minus 115 ms","Subject","001","N-back",2

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5059,"desk",0,2405,"<timeout>",1
7468,"gasoline",0,2403,"<timeout>",1
9875,"gasoline",1,639,"3",1
12284,"extract",0,2405,"<timeout>",0
14693,"schooner",0,701,"3",1
17101,"extract",2,2405,"<timeout>",0
19509,"extract",1,1052,"1",0
21919,"alcohol",0,2404,"<timeout>",0
24327,"brick",0,2403,"<timeout>",0
26734,"alcohol",2,932,"1",1
29143,"extract",0,2405,"<timeout>",0
31552,"gasoline",0,946,"3",1
33961,"extract",2,2404,"<timeout>",0
36368,"brick",0,803,"3",1
38777,"brick",1,2404,"<timeout>",0
41185,"saddle",0,833,"3",1
43594,"brick",2,2404,"<timeout>",0
46002,"alcohol",0,754,"3",1
48411,"brick",2,2404,"<timeout>",0
50818,"alcohol",2,1473,"1",1
53227,"extract",0,2405,"<timeout>",0
55636,"gasoline",0,2403,"<timeout>",0
58042,"brick",0,1593,"3",1
60451,"gasoline",2,2404,"<timeout>",0
62859,"brick",2,2404,"<timeout>",0
65265,"saddle",0,793,"3",1
67677,"saddle",1,2404,"<timeout>",0
70085,"schooner",0,990,"3",1
72493,"aunt",0,2404,"<timeout>",0
74900,"gasoline",0,691,"3",1
77310,"aunt",2,2405,"<timeout>",0
79718,"gasoline",2,805,"3",0
82127,"saddle",0,2404,"<timeout>",0
84534,"gasoline",2,2404,"<timeout>",0
86941,"alcohol",0,735,"3",1
89349,"alcohol",1,2405,"<timeout>",0
91757,"aunt",0,863,"3",1
94167,"desk",0,2404,"<timeout>",0
96575,"desk",1,1461,"3",1
98983,"saddle",0,2405,"<timeout>",0
101391,"desk",2,565,"1",1
103802,"saddle",2,2404,"<timeout>",0
106209,"aunt",0,579,"3",1
108618,"extract",0,2404,"<timeout>",0
111025,"aunt",2,867,"1",1
113434,"extract",2,2405,"<timeout>",0
115842,"aunt",2,634,"1",1
118250,"desk",0,2404,"<timeout>",0
120657,"extract",0,556,"3",1
123066,"schooner",0,2405,"<timeout>",0
125473,"desk",0,883,"3",1
127884,"alcohol",0,2404,"<timeout>",0
130291,"aunt",0,937,"3",1
132701,"aunt",1,2404,"<timeout>",0
135109,"gasoline",0,888,"3",1
137517,"desk",0,2405,"<timeout>",0
139925,"aunt",0,760,"3",1
142335,"desk",2,2404,"<timeout>",0
144742,"brick",0,863,"3",1
147152,"saddle",0,2404,"<timeout>",0
149559,"gasoline",0,926,"3",1
151970,"saddle",2,2404,"<timeout>",0
154377,"schooner",0,788,"3",1
156787,"saddle",2,2404,"<timeout>",0
159194,"schooner",2,947,"1",1
161602,"brick",0,2405,"<timeout>",0
164010,"schooner",2,868,"1",1
166419,"schooner",1,2404,"<timeout>",0
168827,"desk",0,635,"3",1
171237,"schooner",2,2404,"<timeout>",0
173644,"desk",2,497,"1",1
176053,"alcohol",0,2404,"<timeout>",0
178460,"schooner",0,747,"3",1
180869,"alcohol",2,2404,"<timeout>",0
183276,"desk",0,914,"3",1
