"Start Time","Thu Nov 24 15:01:14 2011","15:01:13 minus 94 ms","Subject","001","N-back",2

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
7057,"desk",0,414,"3",1
9468,"gasoline",0,572,"3",1
11878,"gasoline",1,1017,"3",1
14288,"extract",0,584,"3",1
16698,"schooner",0,534,"3",1
19107,"extract",2,614,"1",1
21517,"extract",1,610,"3",1
23926,"alcohol",0,969,"3",1
26335,"brick",0,625,"3",1
28745,"alcohol",2,440,"1",1
31155,"extract",0,425,"3",1
33564,"gasoline",0,732,"3",1
35974,"extract",2,850,"1",1
38383,"brick",0,406,"3",1
40792,"brick",1,561,"3",1
43202,"saddle",0,1006,"3",1
45612,"brick",2,628,"1",1
48021,"alcohol",0,540,"3",1
50432,"brick",2,632,"1",1
52842,"alcohol",2,504,"3",0
55251,"extract",0,798,"3",1
57660,"gasoline",0,805,"3",1
60070,"brick",0,947,"3",1
62479,"gasoline",2,1036,"3",0
64890,"brick",2,501,"1",1
67300,"saddle",0,713,"3",1
69710,"saddle",1,426,"3",1
72119,"schooner",0,483,"3",1
74529,"aunt",0,500,"3",1
76938,"gasoline",0,552,"3",1
79349,"aunt",2,836,"1",1
81758,"gasoline",2,406,"3",0
84167,"saddle",0,635,"3",1
86577,"gasoline",2,689,"1",1
88986,"alcohol",0,2405,"<timeout>",0
91394,"alcohol",1,776,"1",0
93803,"aunt",0,718,"3",1
96213,"desk",0,612,"3",1
98623,"desk",1,420,"3",1
101032,"saddle",0,1241,"1",0
103441,"desk",2,2405,"<timeout>",0
105850,"saddle",2,511,"3",0
108259,"aunt",0,695,"3",1
110669,"extract",0,558,"3",1
113078,"aunt",2,509,"3",0
115488,"extract",2,706,"3",0
117897,"aunt",2,2405,"<timeout>",0
120305,"desk",0,478,"3",1
122715,"extract",0,855,"1",0
125124,"schooner",0,406,"3",1
127533,"desk",0,406,"3",1
129942,"alcohol",0,493,"1",0
132352,"aunt",0,540,"3",1
134762,"aunt",1,713,"3",1
137172,"gasoline",0,687,"3",1
139582,"desk",0,2309,"3",1
142393,"aunt",0,2405,"<timeout>",0
144802,"desk",2,404,"3",0
147212,"brick",0,616,"3",1
149622,"saddle",0,550,"3",1
152031,"gasoline",0,557,"3",1
154441,"saddle",2,643,"1",1
156852,"schooner",0,687,"1",0
159262,"saddle",2,414,"3",0
161672,"schooner",2,406,"3",0
164081,"brick",0,2404,"<timeout>",0
166489,"schooner",2,2404,"<timeout>",0
168896,"schooner",1,2404,"<timeout>",0
171304,"desk",0,404,"3",1
173712,"schooner",2,421,"3",0
176122,"desk",2,2404,"<timeout>",0
178529,"alcohol",0,406,"3",1
180938,"schooner",0,2209,"3",1
183750,"alcohol",2,518,"1",1
186160,"desk",0,406,"1",0
