Start Time,Wed Nov 23 16-19-02 2011,Offset,16:19:03 minus 276 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 95, 73, 87, 255, 255, 1, 1, 4, 5603, 9572, 10002,
001,2,2, 54, 11, 39, 104, 104, 1, 0, 3, 16286, 4401, 5058,
001,2,3, 72, 87, 63, 222, 222, 1, 0, 3, 26961, 5798, 6512,
001,2,4, 33, 82, 11, 126, 116, 0, 0, 3, 37636, 7076, 8140,
001,2,5, 71, 73, 35, 179, 178, 0, 0, 3, 48312, 4737, 5496,
001,2,6, 25, 16, 11, 52, 0, 2, 1, 1, 58988, 10003, 10003,
001,2,7, 32, 79, 89, 200, 201, 0, 0, 3, 69669, 7117, 7741,
001,2,8, 85, 87, 85, 257, 257, 1, 0, 3, 80343, 4450, 5186,
001,2,9, 62, 37, 69, 168, 168, 1, 0, 3, 91018, 6689, 7816,
001,2,10, 39, 43, 29, 111, 111, 1, 0, 3, 101675, 7375, 8038,
001,2,11, 95, 13, 32, 140, 140, 1, 0, 3, 112351, 6036, 6836,
001,2,12, 88, 26, 55, 169, 169, 1, 1, 4, 123009, 9154, 10003,
001,2,13, 33, 79, 65, 177, 167, 0, 0, 3, 133692, 4888, 6223,
001,2,14, 85, 67, 31, 183, 183, 1, 0, 3, 144367, 6741, 7804,
001,2,15, 47, 48, 33, 128, 118, 0, 0, 3, 155024, 5123, 5739,
001,2,16, 14, 87, 27, 128, 128, 1, 0, 3, 165700, 5567, 6248,
001,2,17, 48, 88, 45, 181, 191, 0, 0, 3, 176375, 6676, 7621,
001,2,18, 23, 16, 71, 110, 110, 1, 0, 3, 187032, 4108, 5332,
