Start Time,Thu Nov 24 13-00-47 2011,Offset,13:00:48 minus 213 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 779, 442, 244, 1465, 0, 2, 1, 1, 10901, 20003, 20003,
001,2,2, 352, 475, 516, 1343, 1343, 1, 0, 4, 31587, 14063, 15120,
001,2,3, 545, 515, 143, 1203, 1203, 1, 0, 4, 52266, 9329, 10368,
001,2,4, 715, 265, 387, 1367, 1362, 0, 0, 4, 72876, 13760, 14727,
001,2,5, 822, 876, 635, 2333, 2, 2, 1, 8, 93554, 15947, 20003,
001,2,6, 873, 746, 834, 2453, 0, 2, 1, 1, 114238, 20003, 20003,
001,2,7, 921, 521, 375, 1817, 2433, 0, 0, 4, 134920, 44, 2044,
001,2,8, 544, 348, 423, 1315, 0, 2, 1, 1, 155582, 20003, 20003,
001,2,9, 359, 827, 849, 2035, 1935, 0, 0, 4, 176264, 13983, 15110,
