Start Time,Wed Nov 23 09-06-30 2011,Offset,09:06:31 minus 935 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 779, 442, 244, 1465, 1455, 0, 0, 4, 11442, 11702, 12861,
001,2,2, 352, 475, 516, 1343, 1400, 0, 0, 4, 32122, 10966, 12062,
001,2,3, 545, 515, 143, 1203, 1230, 0, 0, 4, 52801, 12376, 15583,
001,2,4, 715, 265, 387, 1367, 1367, 1, 0, 4, 73481, 13239, 14704,
001,2,5, 822, 876, 635, 2333, 2366, 0, 0, 4, 94160, 11489, 12434,
001,2,6, 873, 746, 834, 2453, 2453, 1, 0, 4, 114839, 12643, 14155,
001,2,7, 921, 521, 375, 1817, 1837, 0, 0, 4, 135519, 12179, 13907,
001,2,8, 544, 348, 423, 1315, 1315, 1, 0, 4, 156199, 13837, 16028,
001,2,9, 359, 827, 849, 2035, 2035, 1, 0, 4, 176879, 16268, 18309,
