Start Time,Wed Nov 23 09-54-13 2011,Offset,09:54:14 minus 189 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 387, 189, 427, 1003, 827, 0, 0, 3, 5910, 13022, 14589,
001,2,2, 988, 777, 255, 2020, 2117, 0, 0, 4, 26589, 14127, 15342,
001,2,3, 734, 354, 374, 1462, 1562, 0, 0, 4, 47268, 17873, 19928,
001,2,4, 865, 521, 419, 1805, 2015, 0, 0, 4, 67946, 16570, 19083,
001,2,5, 745, 965, 356, 2066, 2088, 0, 0, 4, 88616, 16509, 18966,
001,2,6, 745, 912, 251, 1908, 1900, 0, 0, 4, 109294, 13592, 15545,
001,2,7, 848, 317, 396, 1561, 1406, 0, 0, 4, 129971, 17148, 18179,
001,2,8, 446, 326, 673, 1445, 1345, 2, 1, 10, 150563, 13981, 20002,
001,2,9, 699, 294, 321, 1314, 1314, 1, 0, 4, 171247, 14440, 15680,
