"Start Time","Wed Nov 23 09:10:52 2011","09:10:51 minus 87 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
6695,"canvas",0,2404,"<timeout>",1
9103,"whiskey",0,695,"3",1
11511,"whiskey",1,838,"1",1
13922,"bunny",0,580,"3",1
16332,"tomato",0,689,"1",0
18741,"gale",0,880,"3",1
21151,"gale",1,702,"1",1
23560,"tomato",0,805,"3",1
25971,"canvas",0,763,"3",1
28381,"canvas",1,482,"1",1
30790,"canvas",1,719,"1",1
33199,"hollow",0,583,"3",1
35608,"canvas",0,989,"3",1
38018,"bottle",0,732,"3",1
40427,"whiskey",0,532,"3",1
42837,"whiskey",1,570,"1",1
45246,"tomato",0,617,"3",1
47655,"flag",0,735,"3",1
50063,"flag",1,568,"1",1
52472,"gale",0,575,"3",1
54883,"bottle",0,476,"3",1
57292,"flag",0,566,"3",1
59701,"bottle",0,538,"3",1
62110,"canvas",0,554,"3",1
64520,"bunny",0,439,"3",1
66929,"canvas",0,495,"3",1
69339,"bunny",0,636,"3",1
71749,"gale",0,467,"3",1
74158,"bunny",0,409,"3",1
76567,"bunny",1,545,"1",1
78976,"hollow",0,503,"3",1
81385,"bottle",0,415,"3",1
83796,"bottle",1,516,"1",1
86206,"flag",0,522,"3",1
88616,"bottle",0,479,"3",1
91025,"bottle",1,487,"1",1
93435,"hollow",0,509,"3",1
95845,"gale",0,439,"3",1
98255,"gale",1,545,"1",1
100665,"gale",1,527,"1",1
103075,"tomato",0,413,"3",1
105484,"flag",0,444,"3",1
107894,"flag",1,406,"1",1
110303,"gale",0,497,"3",1
112714,"hollow",0,478,"3",1
115124,"hollow",1,621,"1",1
117533,"flag",0,460,"3",1
119943,"canvas",0,784,"3",1
122353,"flag",0,548,"3",1
124764,"flag",1,493,"1",1
127175,"tomato",0,434,"3",1
129585,"whiskey",0,624,"3",1
131994,"bunny",0,511,"3",1
134403,"whiskey",0,709,"1",0
136813,"gale",0,683,"3",1
139223,"tomato",0,642,"3",1
141633,"tomato",1,449,"1",1
144042,"tomato",1,567,"1",1
146451,"tomato",1,486,"1",1
148861,"hollow",0,492,"3",1
151271,"hollow",1,458,"1",1
153680,"hollow",1,490,"1",1
156091,"whiskey",0,479,"3",1
158501,"whiskey",1,501,"1",1
160910,"bottle",0,475,"3",1
163319,"bottle",1,424,"1",1
165729,"hollow",0,704,"3",1
168138,"whiskey",0,935,"3",1
170547,"bunny",0,679,"3",1
172956,"bunny",1,406,"1",1
175365,"bunny",1,424,"1",1
177775,"canvas",0,491,"3",1
180185,"canvas",1,407,"1",1
182594,"canvas",1,406,"1",1
185004,"whiskey",0,575,"3",1
