"Start Time","Fri Nov 25 11:02:21 2011","11:02:20 minus 77 ms","Subject","001","N-back",2

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5679,"desk",0,2405,"<timeout>",1
8088,"gasoline",0,2403,"<timeout>",1
10495,"gasoline",1,471,"3",1
12906,"extract",0,2404,"<timeout>",0
15314,"schooner",0,2403,"<timeout>",0
17721,"extract",2,1270,"1",1
20131,"extract",1,2405,"<timeout>",0
22540,"alcohol",0,2403,"<timeout>",0
24947,"brick",0,773,"3",1
27355,"alcohol",2,2404,"<timeout>",0
29763,"extract",0,2404,"<timeout>",0
32171,"gasoline",0,637,"1",0
34580,"extract",2,2404,"<timeout>",0
36987,"brick",0,2404,"<timeout>",0
39395,"brick",1,788,"3",1
41802,"saddle",0,2405,"<timeout>",0
44211,"brick",2,2403,"<timeout>",0
46617,"alcohol",0,592,"3",1
49027,"brick",2,2404,"<timeout>",0
51434,"alcohol",2,2405,"<timeout>",0
53842,"extract",0,454,"3",1
56253,"gasoline",0,2404,"<timeout>",0
58660,"brick",0,2404,"<timeout>",0
61068,"gasoline",2,500,"1",1
63476,"brick",2,2405,"<timeout>",0
65883,"saddle",0,2405,"<timeout>",0
68292,"saddle",1,756,"3",1
70700,"schooner",0,2404,"<timeout>",0
73108,"aunt",0,2403,"<timeout>",0
75515,"gasoline",0,2404,"<timeout>",0
77922,"aunt",2,2404,"<timeout>",0
80329,"gasoline",2,2404,"<timeout>",0
82737,"saddle",0,688,"3",1
85145,"gasoline",2,2404,"<timeout>",0
87552,"alcohol",0,2405,"<timeout>",0
89961,"alcohol",1,1256,"3",1
92370,"aunt",0,2404,"<timeout>",0
94778,"desk",0,2403,"<timeout>",0
97185,"desk",1,757,"3",1
99592,"saddle",0,2405,"<timeout>",0
102001,"desk",2,2403,"<timeout>",0
104408,"saddle",2,2403,"<timeout>",0
106815,"aunt",0,498,"3",1
109224,"extract",0,2405,"<timeout>",0
111631,"aunt",2,2405,"<timeout>",0
114041,"extract",2,481,"1",1
116450,"aunt",2,2404,"<timeout>",0
118857,"desk",0,2404,"<timeout>",0
121265,"extract",0,562,"3",1
123674,"schooner",0,2405,"<timeout>",0
126082,"desk",0,2404,"<timeout>",0
128489,"alcohol",0,769,"3",1
130898,"aunt",0,2404,"<timeout>",0
133306,"aunt",1,2404,"<timeout>",0
135714,"gasoline",0,880,"3",1
138122,"desk",0,2404,"<timeout>",0
140529,"aunt",0,2404,"<timeout>",0
142936,"desk",2,524,"3",0
145345,"brick",0,2405,"<timeout>",0
147753,"saddle",0,2404,"<timeout>",0
150161,"gasoline",0,594,"3",1
152569,"saddle",2,2404,"<timeout>",0
154977,"schooner",0,2404,"<timeout>",0
157384,"saddle",2,1123,"3",0
159794,"schooner",2,2404,"<timeout>",0
162202,"brick",0,2403,"<timeout>",0
164609,"schooner",2,450,"1",1
167017,"schooner",1,2405,"<timeout>",0
169424,"desk",0,2405,"<timeout>",0
171833,"schooner",2,482,"1",1
174241,"desk",2,2404,"<timeout>",0
176649,"alcohol",0,2403,"<timeout>",0
179056,"schooner",0,612,"3",1
181465,"alcohol",2,2404,"<timeout>",0
183873,"desk",0,2403,"<timeout>",0
