"Start Time","Fri Nov 25 10:58:45 2011","10:58:44 minus 78 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
9132,"barber",0,2405,"<timeout>",1
11541,"plaster",0,2404,"<timeout>",1
13949,"essay",0,2403,"<timeout>",1
16356,"barber",3,823,"1",1
18765,"plaster",3,2405,"<timeout>",0
21173,"barber",2,2404,"<timeout>",0
23581,"currency",0,2403,"<timeout>",0
25988,"plaster",3,416,"1",1
28395,"quarry",0,2404,"<timeout>",0
30803,"currency",3,2404,"<timeout>",0
33211,"currency",1,754,"1",0
35619,"currency",2,841,"1",0
38028,"barber",0,481,"3",1
40438,"energy",0,2405,"<timeout>",0
42847,"barber",2,2404,"<timeout>",0
45255,"disturb",0,2403,"<timeout>",0
47662,"energy",3,422,"1",1
50071,"disturb",2,2404,"<timeout>",0
52479,"energy",2,2403,"<timeout>",0
54886,"sofa",0,502,"3",1
57295,"disturb",3,2404,"<timeout>",0
59702,"sofa",2,2404,"<timeout>",0
62110,"energy",0,2404,"<timeout>",0
64518,"essay",0,695,"1",0
66925,"sofa",3,2404,"<timeout>",0
69332,"essay",2,921,"1",0
71741,"disturb",0,2404,"<timeout>",0
74149,"sofa",3,2403,"<timeout>",0
76556,"currency",0,985,"3",1
78965,"energy",0,2404,"<timeout>",0
81373,"plaster",0,2403,"<timeout>",0
83780,"currency",3,617,"1",1
86190,"sofa",0,2404,"<timeout>",0
88597,"disturb",0,1016,"1",0
91006,"plaster",0,2405,"<timeout>",0
93414,"plaster",1,405,"3",1
95823,"disturb",3,2404,"<timeout>",0
98230,"sofa",0,2404,"<timeout>",0
100638,"essay",0,2404,"<timeout>",0
103046,"essay",1,536,"1",0
105454,"quarry",0,2404,"<timeout>",0
107862,"currency",0,2403,"<timeout>",0
110269,"quarry",2,642,"3",1
112678,"essay",0,2405,"<timeout>",0
115086,"quarry",2,856,"1",0
117495,"currency",0,2404,"<timeout>",0
119903,"essay",3,936,"1",1
122311,"barber",0,2404,"<timeout>",0
124718,"currency",3,2404,"<timeout>",0
127126,"essay",3,528,"1",1
129534,"barber",3,2404,"<timeout>",0
131942,"disturb",0,984,"3",1
134350,"disturb",1,2405,"<timeout>",0
136758,"barber",3,698,"1",1
139169,"sofa",0,2404,"<timeout>",0
141577,"disturb",3,2403,"<timeout>",0
143983,"sofa",2,440,"1",0
146392,"barber",0,2405,"<timeout>",0
148800,"plaster",0,2404,"<timeout>",0
151208,"sofa",3,527,"3",0
153616,"quarry",0,2404,"<timeout>",0
156024,"essay",0,404,"1",0
158432,"barber",0,2405,"<timeout>",0
160840,"quarry",3,2404,"<timeout>",0
163248,"essay",3,413,"1",1
165657,"energy",0,2404,"<timeout>",0
168064,"quarry",3,999,"1",1
170473,"energy",2,2405,"<timeout>",0
172881,"plaster",0,2404,"<timeout>",0
175289,"quarry",3,527,"3",0
177697,"energy",3,2404,"<timeout>",0
180104,"plaster",3,2404,"<timeout>",0
182511,"plaster",1,2405,"<timeout>",0
184920,"energy",3,404,"1",1
187330,"quarry",0,2404,"<timeout>",0
