"Start Time","Fri Nov 25 11:05:55 2011","11:05:54 minus 76 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
7500,"suite",0,2404,"<timeout>",1
9908,"pond",0,2404,"<timeout>",0
12316,"folk",0,895,"3",1
14724,"suite",0,559,"1",0
17134,"boulder",0,2405,"<timeout>",0
19542,"boulder",1,2404,"<timeout>",0
21949,"folk",0,790,"3",1
24359,"folk",1,2404,"<timeout>",0
26767,"wedge",0,2404,"<timeout>",0
29174,"mineral",0,654,"3",1
31583,"mineral",1,2404,"<timeout>",0
33991,"suite",0,2404,"<timeout>",0
36398,"folk",0,670,"3",1
38807,"folk",1,2405,"<timeout>",0
41214,"suite",0,2404,"<timeout>",0
43621,"wedge",0,2403,"<timeout>",0
46027,"pond",0,496,"3",1
48436,"pond",1,2404,"<timeout>",0
50844,"actress",0,2404,"<timeout>",0
53251,"actress",1,1224,"3",0
55661,"actress",1,2404,"<timeout>",0
58068,"folk",0,2404,"<timeout>",0
60475,"folk",1,960,"1",1
62883,"actress",0,2405,"<timeout>",0
65291,"folk",0,2404,"<timeout>",0
67698,"wedge",0,682,"3",1
70108,"wedge",1,2404,"<timeout>",0
72515,"wedge",1,985,"1",1
74925,"pond",0,2405,"<timeout>",0
77333,"wedge",0,2403,"<timeout>",0
79740,"dentist",0,584,"3",1
82147,"dentist",1,2404,"<timeout>",0
84554,"dentist",1,922,"1",1
86963,"boulder",0,2404,"<timeout>",0
89370,"boulder",1,2404,"<timeout>",0
91777,"boulder",1,820,"1",1
94187,"mineral",0,2405,"<timeout>",0
96595,"actress",0,2405,"<timeout>",0
99004,"dentist",0,480,"3",1
101413,"mineral",0,2404,"<timeout>",0
103821,"boulder",0,2403,"<timeout>",0
106227,"mineral",0,497,"1",0
108637,"boulder",0,2405,"<timeout>",0
111045,"wedge",0,2404,"<timeout>",0
113452,"mineral",0,2404,"<timeout>",0
115860,"mineral",1,1369,"3",0
118270,"suite",0,2404,"<timeout>",0
120677,"suite",1,2405,"<timeout>",0
123086,"dentist",0,496,"3",1
125494,"actress",0,2404,"<timeout>",0
127901,"dentist",0,2404,"<timeout>",0
130309,"pond",0,682,"3",1
132718,"wedge",0,2405,"<timeout>",0
135127,"wedge",1,2403,"<timeout>",0
137533,"mineral",0,913,"3",1
139943,"mineral",1,2404,"<timeout>",0
142351,"suite",0,2404,"<timeout>",0
144757,"actress",0,649,"3",1
147168,"dentist",0,2404,"<timeout>",0
149575,"dentist",1,2404,"<timeout>",0
151982,"folk",0,528,"3",1
154391,"pond",0,2405,"<timeout>",0
156798,"pond",1,2405,"<timeout>",0
159206,"pond",1,656,"1",1
161614,"boulder",0,2404,"<timeout>",0
164021,"actress",0,2404,"<timeout>",0
166428,"actress",1,1363,"3",0
168839,"suite",0,2404,"<timeout>",0
171246,"suite",1,2404,"<timeout>",0
173653,"suite",1,458,"1",1
176062,"boulder",0,2404,"<timeout>",0
178469,"dentist",0,2405,"<timeout>",0
180877,"pond",0,602,"3",1
183286,"suite",0,2404,"<timeout>",0
185693,"pond",0,2404,"<timeout>",0
