Start Time,Tue Nov 22 11-18-17 2011,Offset,11:18:18 minus 1138 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 387, 189, 427, 1003, 1500, 0, 0, 4, 5037, 13185, 13937,
001,2,2, 988, 777, 255, 2020, 0, 2, 1, 1, 25715, 20003, 20003,
001,2,3, 734, 354, 374, 1462, 1462, 1, 0, 4, 46398, 15986, 18136,
001,2,4, 865, 521, 419, 1805, 2, 2, 1, 2, 67078, 18481, 20002,
001,2,5, 745, 965, 356, 2066, 5, 0, 0, 1, 87761, 127, 414,
001,2,6, 745, 912, 251, 1908, 2001, 0, 0, 4, 108384, 18113, 19728,
001,2,7, 848, 317, 396, 1561, 0, 2, 1, 1, 129063, 20003, 20003,
001,2,8, 446, 326, 673, 1445, 0, 2, 1, 1, 149748, 20003, 20003,
001,2,9, 699, 294, 321, 1314, 0, 2, 1, 1, 170430, 20003, 20003,
