"Start Time","Tue Nov 22 11:39:45 2011","11:39:44 minus 85 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5537,"barber",0,576,"3",1
7947,"plaster",0,406,"3",1
10357,"essay",0,406,"3",1
12766,"barber",3,1104,"1",1
15177,"plaster",3,776,"1",1
17585,"barber",2,1279,"3",1
19994,"currency",0,1175,"3",1
22405,"plaster",3,1340,"1",1
24815,"quarry",0,1850,"3",1
27225,"currency",3,1007,"1",1
29636,"currency",1,1093,"3",1
32046,"currency",2,1010,"3",1
34456,"barber",0,1129,"1",0
36866,"energy",0,879,"3",1
39276,"barber",2,1301,"3",1
41686,"disturb",0,1171,"3",1
44096,"energy",3,423,"1",1
46507,"disturb",2,1518,"3",1
48916,"energy",2,1470,"3",1
51325,"sofa",0,1893,"3",1
53735,"disturb",3,954,"1",1
56144,"sofa",2,1827,"3",1
58554,"energy",0,792,"3",1
60963,"essay",0,823,"3",1
63372,"sofa",3,551,"3",0
65781,"essay",2,654,"1",0
68190,"disturb",0,911,"3",1
70600,"sofa",3,1866,"1",1
73011,"currency",0,1023,"3",1
75421,"energy",0,2404,"<timeout>",0
77829,"plaster",0,637,"3",1
80236,"currency",3,405,"3",0
82645,"sofa",0,2053,"3",1
85054,"disturb",0,860,"3",1
87464,"plaster",0,1138,"3",1
89874,"plaster",1,1016,"3",1
92283,"disturb",3,983,"1",1
94692,"sofa",0,424,"1",0
97101,"essay",0,774,"3",1
99512,"essay",1,907,"1",0
101921,"quarry",0,1463,"3",1
104331,"currency",0,1168,"3",1
106741,"quarry",2,886,"3",1
109150,"essay",0,2093,"1",0
111558,"quarry",2,853,"1",0
113968,"currency",0,406,"1",0
116377,"essay",3,406,"1",1
118786,"barber",0,729,"3",1
121195,"currency",3,2404,"<timeout>",0
123603,"essay",3,1368,"1",1
126012,"barber",3,1456,"3",0
128423,"disturb",0,900,"3",1
130832,"disturb",1,2004,"3",1
133241,"barber",3,1299,"3",0
135651,"sofa",0,1273,"3",1
138060,"disturb",3,2405,"<timeout>",0
140468,"sofa",2,601,"3",1
142877,"barber",0,1295,"3",1
145287,"plaster",0,989,"3",1
147696,"sofa",3,1292,"1",1
150105,"quarry",0,859,"3",1
152515,"essay",0,1025,"1",0
154925,"barber",0,672,"3",1
157334,"quarry",3,406,"3",0
159743,"essay",3,1430,"3",0
162153,"energy",0,1075,"3",1
164562,"quarry",3,659,"1",1
166972,"energy",2,840,"3",1
169383,"plaster",0,583,"3",1
171793,"quarry",3,980,"3",0
174203,"energy",3,1458,"1",1
176612,"plaster",3,921,"1",1
179021,"plaster",1,783,"1",0
181430,"energy",3,1495,"3",0
183841,"quarry",0,756,"3",1
