"Start Time","Wed Nov 23 11:42:18 2011","11:42:17 minus 87 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5903,"barber",0,2404,"<timeout>",1
8311,"plaster",0,704,"3",1
10718,"essay",0,720,"3",1
13128,"barber",3,871,"1",1
15538,"plaster",3,1284,"1",1
17948,"barber",2,1610,"3",1
20357,"currency",0,1146,"3",1
22768,"plaster",3,1391,"1",1
25176,"quarry",0,767,"3",1
27586,"currency",3,1636,"1",1
29995,"currency",1,1420,"3",1
32405,"currency",2,1738,"3",1
34815,"barber",0,983,"3",1
37224,"energy",0,1023,"3",1
39634,"barber",2,1069,"1",0
42045,"disturb",0,603,"3",1
44456,"energy",3,1559,"1",1
46865,"disturb",2,1768,"3",1
49274,"energy",2,1701,"3",1
51684,"sofa",0,995,"3",1
54093,"disturb",3,1106,"1",1
56505,"sofa",2,1310,"3",1
58915,"energy",0,1676,"1",0
61324,"essay",0,581,"3",1
63734,"sofa",3,1186,"1",1
66144,"essay",2,999,"3",1
68554,"disturb",0,1110,"3",1
70964,"sofa",3,923,"1",1
73374,"currency",0,1009,"3",1
75785,"energy",0,1927,"3",1
78193,"plaster",0,1022,"3",1
80603,"currency",3,1645,"3",0
83013,"sofa",0,1003,"3",1
85422,"disturb",0,762,"3",1
87832,"plaster",0,992,"1",0
90242,"plaster",1,2022,"1",0
92650,"disturb",3,710,"3",0
95059,"sofa",0,821,"3",1
97468,"essay",0,518,"3",1
99878,"essay",1,794,"3",1
102287,"quarry",0,571,"3",1
104695,"currency",0,842,"3",1
107105,"quarry",2,1216,"3",1
109514,"essay",0,1441,"3",1
111923,"quarry",2,599,"1",0
114334,"currency",0,1130,"1",0
116743,"essay",3,688,"1",1
119152,"barber",0,634,"3",1
121561,"currency",3,673,"1",1
123971,"essay",3,1430,"1",1
126381,"barber",3,575,"3",0
128791,"disturb",0,540,"3",1
131201,"disturb",1,744,"3",1
133611,"barber",3,1286,"1",1
136020,"sofa",0,542,"3",1
138429,"disturb",3,909,"1",1
140839,"sofa",2,1003,"3",1
143249,"barber",0,705,"3",1
145659,"plaster",0,791,"3",1
148069,"sofa",3,652,"3",0
150478,"quarry",0,1108,"3",1
152888,"essay",0,674,"3",1
155298,"barber",0,1224,"3",1
157708,"quarry",3,535,"1",1
160118,"essay",3,1637,"1",1
162528,"energy",0,443,"3",1
164937,"quarry",3,406,"3",0
167346,"energy",2,1712,"1",0
169755,"plaster",0,2240,"3",1
172164,"quarry",3,1583,"3",0
174573,"energy",3,650,"3",0
176982,"plaster",3,510,"1",1
179391,"plaster",1,574,"1",0
181801,"energy",3,451,"3",0
184211,"quarry",0,1456,"3",1
