Start Time,Wed Nov 23 10-58-41 2011,Offset,10:58:42 minus 263 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 779, 442, 244, 1465, 0, 2, 1, 1, 6206, 20003, 20003,
001,2,2, 352, 475, 516, 1343, 0, 2, 1, 1, 26890, 20003, 20003,
001,2,3, 545, 515, 143, 1203, 1090, 0, 0, 4, 47573, 11559, 12784,
001,2,4, 715, 265, 387, 1367, 1267, 0, 0, 4, 68253, 18383, 19280,
001,2,5, 822, 876, 635, 2333, 2200, 0, 0, 4, 88932, 13986, 14913,
001,2,6, 873, 746, 834, 2453, 2400, 0, 0, 4, 109611, 16724, 17899,
001,2,7, 921, 521, 375, 1817, 0, 2, 1, 1, 130291, 20003, 20003,
001,2,8, 544, 348, 423, 1315, 1300, 0, 0, 4, 150973, 16362, 17219,
001,2,9, 359, 827, 849, 2035, 0, 2, 1, 1, 171652, 20003, 20003,
