"Start Time","Tue Nov 22 15:33:52 2011","15:33:51 minus 55 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
6027,"canvas",0,2404,"<timeout>",1
8434,"whiskey",0,527,"3",1
10844,"whiskey",1,502,"1",1
13254,"bunny",0,540,"3",1
15664,"tomato",0,546,"1",0
18077,"gale",0,613,"3",1
20487,"gale",1,666,"1",1
22896,"tomato",0,477,"3",1
25305,"canvas",0,583,"1",0
27714,"canvas",1,815,"3",0
30123,"canvas",1,1046,"1",1
32533,"hollow",0,1061,"3",1
34944,"canvas",0,849,"3",1
37353,"bottle",0,1001,"3",1
39762,"whiskey",0,1120,"3",1
42171,"whiskey",1,544,"1",1
44581,"tomato",0,797,"3",1
46991,"flag",0,811,"3",1
49402,"flag",1,776,"1",1
51811,"gale",0,727,"3",1
54220,"bottle",0,567,"3",1
56630,"flag",0,1004,"3",1
59040,"bottle",0,842,"3",1
61450,"canvas",0,888,"3",1
63860,"bunny",0,774,"3",1
66270,"canvas",0,601,"3",1
68680,"bunny",0,563,"3",1
71089,"gale",0,595,"3",1
73499,"bunny",0,871,"3",1
75907,"bunny",1,1152,"1",1
78317,"hollow",0,623,"3",1
80727,"bottle",0,812,"3",1
83137,"bottle",1,802,"1",1
85546,"flag",0,633,"3",1
87956,"bottle",0,743,"3",1
90365,"bottle",1,854,"1",1
92776,"hollow",0,779,"3",1
95186,"gale",0,666,"3",1
97596,"gale",1,863,"1",1
100005,"gale",1,790,"1",1
102414,"tomato",0,741,"3",1
104823,"flag",0,1061,"3",1
107234,"flag",1,770,"1",1
109643,"gale",0,825,"3",1
112052,"hollow",0,1184,"3",1
114462,"hollow",1,846,"1",1
116872,"flag",0,812,"3",1
119281,"canvas",0,779,"3",1
121691,"flag",0,1168,"1",0
124101,"flag",1,879,"1",1
126511,"tomato",0,510,"3",1
128921,"whiskey",0,812,"3",1
131330,"bunny",0,595,"3",1
133741,"whiskey",0,759,"1",0
136151,"gale",0,510,"3",1
138561,"tomato",0,716,"3",1
140970,"tomato",1,866,"1",1
143380,"tomato",1,721,"1",1
145790,"tomato",1,662,"1",1
148200,"hollow",0,653,"3",1
150611,"hollow",1,539,"3",0
153021,"hollow",1,920,"1",1
155431,"whiskey",0,1470,"3",1
157840,"whiskey",1,730,"1",1
160250,"bottle",0,1108,"3",1
162660,"bottle",1,905,"1",1
165071,"hollow",0,806,"3",1
167481,"whiskey",0,1293,"3",1
169891,"bunny",0,1914,"3",1
172300,"bunny",1,961,"1",1
174711,"bunny",1,631,"1",1
177121,"canvas",0,796,"3",1
179530,"canvas",1,780,"1",1
181941,"canvas",1,593,"1",1
184351,"whiskey",0,1350,"3",1
