Start Time,Thu Nov 24 10-22-20 2011,Offset,10:22:21 minus 1105 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 8, 3, 3, 14, 14, 1, 0, 2, 7406, 1708, 2294,
001,2,2, 3, 4, 3, 10, 10, 1, 0, 2, 13080, 1572, 1971,
001,2,3, 7, 1, 5, 13, 13, 1, 0, 2, 18737, 1475, 1868,
001,2,4, 1, 4, 5, 10, 10, 1, 0, 2, 24409, 1443, 1971,
001,2,5, 5, 6, 7, 18, 18, 1, 0, 2, 30032, 1380, 2021,
001,2,6, 4, 4, 9, 17, 17, 1, 0, 2, 35697, 1435, 2299,
001,2,7, 4, 3, 9, 16, 16, 1, 0, 2, 41369, 1484, 1988,
001,2,8, 9, 1, 1, 11, 11, 1, 0, 2, 46997, 1671, 2095,
001,2,9, 4, 9, 9, 22, 22, 1, 0, 2, 52652, 1769, 2273,
001,2,10, 6, 2, 4, 12, 12, 1, 0, 2, 58274, 1434, 1883,
001,2,11, 8, 2, 1, 11, 11, 1, 0, 2, 63930, 1259, 1747,
001,2,12, 9, 1, 3, 13, 13, 1, 0, 2, 69603, 1266, 1721,
001,2,13, 4, 7, 6, 17, 17, 1, 0, 2, 75259, 1442, 2163,
001,2,14, 5, 8, 5, 18, 18, 1, 0, 2, 80871, 1343, 1966,
001,2,15, 7, 1, 5, 13, 13, 1, 0, 2, 86530, 1211, 1755,
001,2,16, 2, 6, 7, 15, 15, 1, 0, 2, 92187, 1354, 1923,
001,2,17, 5, 2, 5, 12, 12, 1, 0, 2, 97842, 1429, 1868,
001,2,18, 5, 3, 1, 9, 9, 1, 0, 1, 103515, 1434, 1836,
001,2,19, 7, 6, 7, 20, 20, 1, 0, 2, 109169, 1413, 1853,
001,2,20, 9, 2, 3, 14, 14, 1, 0, 2, 114825, 1429, 1990,
001,2,21, 2, 6, 6, 14, 14, 1, 0, 2, 120447, 1705, 2392,
001,2,22, 4, 1, 4, 9, 9, 1, 0, 1, 126069, 1618, 2035,
001,2,23, 6, 3, 9, 18, 18, 1, 0, 2, 131723, 1483, 2147,
001,2,24, 8, 9, 2, 19, 19, 1, 0, 2, 137391, 1640, 2360,
001,2,25, 6, 3, 9, 18, 18, 1, 0, 2, 143014, 2282, 2922,
001,2,26, 9, 4, 7, 20, 20, 1, 0, 2, 148618, 1621, 2118,
001,2,27, 5, 2, 2, 9, 9, 1, 0, 1, 154240, 1632, 2127,
001,2,28, 4, 7, 9, 20, 20, 1, 0, 2, 159897, 1319, 1727,
001,2,29, 3, 4, 5, 12, 12, 1, 0, 2, 165571, 1405, 1885,
001,2,30, 1, 4, 9, 14, 14, 1, 0, 2, 171211, 1806, 2421,
001,2,31, 9, 4, 5, 18, 18, 1, 0, 2, 176834, 1470, 2142,
001,2,32, 7, 7, 8, 22, 22, 1, 0, 2, 182507, 1519, 2045,
001,2,33, 4, 1, 4, 9, 9, 1, 0, 1, 188129, 1528, 2047,
001,2,34, 2, 6, 4, 12, 12, 1, 0, 2, 193783, 1378, 1859,
001,2,35, 9, 8, 3, 20, 20, 1, 0, 2, 199405, 1508, 1940,
001,2,36, 4, 3, 3, 10, 10, 1, 0, 2, 205061, 1460, 1925,
