"Start Time","Thu Nov 24 10:34:39 2011","10:34:38 minus 78 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
6059,"hinge",0,2405,"<timeout>",1
8467,"germ",0,2404,"<timeout>",1
10875,"shrine",0,454,"3",1
13285,"germ",2,1684,"3",1
15694,"shrine",2,963,"1",0
18102,"sulphur",0,995,"3",1
20511,"germ",3,1483,"3",0
22921,"producer",0,833,"3",1
25332,"sulphur",3,447,"1",1
27741,"bush",0,684,"3",1
30151,"hinge",0,1083,"3",1
32560,"cocktail",0,571,"3",1
34970,"bush",3,663,"1",1
37381,"hunting",0,637,"3",1
39791,"shrine",0,500,"3",1
42201,"germ",0,594,"1",0
44611,"germ",1,2404,"<timeout>",0
47019,"producer",0,688,"1",0
49426,"producer",1,920,"3",1
51835,"germ",3,887,"3",0
54244,"cocktail",0,1007,"3",1
56653,"producer",3,773,"1",1
59063,"sulphur",0,852,"3",1
61471,"cocktail",3,1020,"3",0
63881,"producer",3,1001,"3",0
66291,"producer",1,816,"1",0
68701,"cocktail",3,798,"3",0
71110,"hunting",0,821,"3",1
73519,"producer",3,406,"1",1
75928,"hunting",2,1107,"1",0
78338,"germ",0,650,"3",1
80748,"hunting",2,680,"1",0
83158,"cocktail",0,789,"3",1
85569,"germ",3,931,"3",0
87978,"hunting",3,713,"1",1
90388,"hinge",0,712,"3",1
92798,"bush",0,595,"3",1
95209,"hunting",3,916,"1",1
97619,"producer",0,641,"3",1
100029,"bush",3,807,"3",0
102439,"bush",1,780,"3",1
104849,"shrine",0,799,"3",1
107257,"shrine",1,1355,"1",0
109667,"hunting",0,547,"3",1
112076,"hinge",0,768,"3",1
114485,"germ",0,552,"1",0
116894,"hinge",2,1174,"1",0
119302,"sulphur",0,479,"3",1
121712,"hinge",2,1220,"3",1
124122,"sulphur",2,762,"1",0
126531,"germ",0,1225,"3",1
128940,"hinge",3,691,"1",1
131349,"bush",0,568,"3",1
133758,"bush",1,998,"3",1
136169,"hinge",3,883,"1",1
138579,"producer",0,699,"3",1
140990,"bush",3,743,"1",1
143399,"hunting",0,558,"3",1
145808,"hinge",0,2405,"<timeout>",0
148216,"shrine",0,653,"3",1
150627,"hunting",3,842,"1",1
153036,"hinge",3,842,"1",1
155446,"shrine",3,406,"1",1
157855,"sulphur",0,655,"3",1
160264,"sulphur",1,814,"3",1
162673,"shrine",3,901,"1",1
165084,"bush",0,538,"3",1
167493,"sulphur",3,413,"1",1
169902,"cocktail",0,553,"3",1
172312,"cocktail",1,1038,"3",1
174721,"sulphur",3,917,"1",1
177131,"shrine",0,803,"3",1
179540,"cocktail",3,480,"1",1
181950,"cocktail",1,776,"3",1
184359,"shrine",3,759,"1",1
