Start Time,Thu Nov 24 10-50-01 2011,Offset,10:50:02 minus 531 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 387, 189, 427, 1003, 1003, 1, 0, 4, 3937, 9565, 11358,
001,2,2, 988, 777, 255, 2020, 2002, 0, 0, 4, 24616, 9134, 10719,
001,2,3, 734, 354, 374, 1462, 1462, 1, 0, 4, 45295, 8705, 10112,
001,2,4, 865, 521, 419, 1805, 1805, 1, 0, 4, 65920, 6159, 7528,
001,2,5, 745, 965, 356, 2066, 2006, 0, 0, 4, 86596, 7060, 8052,
001,2,6, 745, 912, 251, 1908, 1948, 0, 0, 4, 107273, 6113, 7927,
001,2,7, 848, 317, 396, 1561, 1561, 1, 0, 4, 127936, 16298, 18210,
001,2,8, 446, 326, 673, 1445, 1445, 1, 0, 4, 148544, 11441, 12441,
001,2,9, 699, 294, 321, 1314, 1304, 0, 0, 4, 169221, 11742, 13277,
