"Start Time","Thu Nov 24 10:30:43 2011","10:30:42 minus 317 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5931,"canvas",0,2405,"<timeout>",1
8340,"whiskey",0,584,"3",1
10748,"whiskey",1,406,"1",1
13157,"bunny",0,542,"3",1
15567,"tomato",0,860,"3",1
17974,"gale",0,581,"3",1
20385,"gale",1,405,"1",1
22794,"tomato",0,675,"3",1
25204,"canvas",0,473,"3",1
27613,"canvas",1,406,"1",1
30021,"canvas",1,519,"1",1
32430,"hollow",0,405,"3",1
34841,"canvas",0,659,"1",0
37250,"bottle",0,458,"3",1
39658,"whiskey",0,490,"3",1
42068,"whiskey",1,495,"1",1
44478,"tomato",0,405,"3",1
46888,"flag",0,557,"3",1
49298,"flag",1,450,"1",1
51707,"gale",0,422,"3",1
54117,"bottle",0,404,"3",1
56526,"flag",0,412,"3",1
58933,"bottle",0,671,"3",1
61343,"canvas",0,461,"3",1
63752,"bunny",0,405,"3",1
66161,"canvas",0,404,"3",1
68570,"bunny",0,418,"3",1
70978,"gale",0,425,"3",1
73387,"bunny",0,414,"3",1
75797,"bunny",1,406,"1",1
78206,"hollow",0,404,"3",1
80615,"bottle",0,671,"3",1
83022,"bottle",1,687,"1",1
85431,"flag",0,662,"3",1
87842,"bottle",0,405,"3",1
90251,"bottle",1,404,"1",1
92660,"hollow",0,425,"3",1
95070,"gale",0,406,"3",1
97479,"gale",1,487,"1",1
99887,"gale",1,439,"1",1
102297,"tomato",0,404,"3",1
104706,"flag",0,779,"3",1
107116,"flag",1,419,"1",1
109525,"gale",0,404,"3",1
111933,"hollow",0,407,"3",1
114342,"hollow",1,406,"1",1
116750,"flag",0,577,"3",1
119160,"canvas",0,404,"3",1
121569,"flag",0,477,"3",1
123977,"flag",1,425,"1",1
126387,"tomato",0,406,"3",1
128796,"whiskey",0,405,"3",1
131205,"bunny",0,404,"3",1
133614,"whiskey",0,405,"3",1
136023,"gale",0,456,"3",1
138434,"tomato",0,525,"3",1
140844,"tomato",1,405,"1",1
143253,"tomato",1,490,"1",1
145663,"tomato",1,425,"1",1
148073,"hollow",0,446,"3",1
150482,"hollow",1,445,"1",1
152891,"hollow",1,429,"1",1
155302,"whiskey",0,404,"3",1
157710,"whiskey",1,434,"1",1
160120,"bottle",0,404,"3",1
162529,"bottle",1,422,"1",1
164937,"hollow",0,502,"3",1
167347,"whiskey",0,460,"3",1
169757,"bunny",0,427,"3",1
172166,"bunny",1,449,"1",1
174575,"bunny",1,425,"1",1
176984,"canvas",0,433,"3",1
179394,"canvas",1,405,"1",1
181804,"canvas",1,468,"1",1
184215,"whiskey",0,640,"3",1
