"Start Time","Fri Nov 25 13:02:59 2011","13:02:58 minus 87 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
6217,"canvas",0,2404,"<timeout>",1
8625,"whiskey",0,632,"3",1
11034,"whiskey",1,431,"1",1
13443,"bunny",0,550,"3",1
15853,"tomato",0,575,"1",0
18263,"gale",0,538,"3",1
20674,"gale",1,671,"3",0
23083,"tomato",0,2404,"<timeout>",0
25490,"canvas",0,1183,"3",1
27899,"canvas",1,942,"1",1
30309,"canvas",1,724,"1",1
32718,"hollow",0,1338,"3",1
35129,"canvas",0,1095,"3",1
37538,"bottle",0,694,"3",1
39948,"whiskey",0,637,"3",1
42358,"whiskey",1,564,"1",1
44767,"tomato",0,810,"3",1
47176,"flag",0,761,"3",1
49586,"flag",1,592,"1",1
51996,"gale",0,693,"3",1
54406,"bottle",0,452,"3",1
56816,"flag",0,580,"3",1
59226,"bottle",0,552,"3",1
61635,"canvas",0,425,"3",1
64046,"bunny",0,444,"3",1
66455,"canvas",0,523,"3",1
68865,"bunny",0,405,"3",1
71274,"gale",0,424,"3",1
73683,"bunny",0,640,"3",1
76093,"bunny",1,688,"1",1
78504,"hollow",0,706,"3",1
80913,"bottle",0,634,"3",1
83322,"bottle",1,744,"1",1
85732,"flag",0,405,"3",1
88141,"bottle",0,973,"3",1
90551,"bottle",1,771,"1",1
92961,"hollow",0,594,"3",1
95371,"gale",0,671,"3",1
97781,"gale",1,582,"1",1
100191,"gale",1,764,"1",1
102601,"tomato",0,434,"3",1
105011,"flag",0,609,"3",1
107422,"flag",1,526,"1",1
109832,"gale",0,690,"3",1
112242,"hollow",0,1184,"3",1
114651,"hollow",1,615,"1",1
117060,"flag",0,591,"3",1
119469,"canvas",0,575,"3",1
121880,"flag",0,1043,"3",1
124290,"flag",1,546,"1",1
126699,"tomato",0,681,"3",1
129108,"whiskey",0,552,"3",1
131519,"bunny",0,932,"3",1
133929,"whiskey",0,858,"3",1
136339,"gale",0,538,"3",1
138749,"tomato",0,479,"3",1
141159,"tomato",1,477,"1",1
143569,"tomato",1,668,"1",1
145978,"tomato",1,426,"1",1
148388,"hollow",0,415,"3",1
150798,"hollow",1,550,"1",1
153208,"hollow",1,549,"1",1
155618,"whiskey",0,587,"3",1
158028,"whiskey",1,537,"1",1
160437,"bottle",0,695,"3",1
162847,"bottle",1,438,"3",0
165258,"hollow",0,1314,"3",1
167668,"whiskey",0,1096,"3",1
170077,"bunny",0,584,"3",1
172487,"bunny",1,599,"1",1
174897,"bunny",1,597,"1",1
177305,"canvas",0,707,"3",1
179716,"canvas",1,553,"1",1
182125,"canvas",1,552,"1",1
184535,"whiskey",0,582,"3",1
