Start Time,Fri Nov 25 13-25-11 2011,Offset,13:25:12 minus 435 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 387, 189, 427, 1003, 921, 0, 0, 3, 12214, 14685, 16373,
001,2,2, 988, 777, 255, 2020, 19, 2, 1, 3, 32892, 18503, 20003,
001,2,3, 734, 354, 374, 1462, 1945, 0, 0, 10, 53577, 522, 15987,
001,2,4, 865, 521, 419, 1805, 0, 2, 1, 1, 74255, 20001, 20001,
001,2,5, 745, 965, 356, 2066, 1801, 0, 0, 4, 94936, 1405, 6558,
001,2,6, 745, 912, 251, 1908, 1908, 1, 1, 5, 115613, 17409, 20004,
001,2,7, 848, 317, 396, 1561, 0, 2, 1, 1, 136298, 20003, 20003,
001,2,8, 446, 326, 673, 1445, 0, 2, 1, 1, 156981, 20002, 20002,
001,2,9, 699, 294, 321, 1314, 4, 2, 1, 2, 177664, 18567, 20002,
