"Start Time","Fri Nov 25 13:37:25 2011","13:37:24 minus 142 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
7819,400,75,1444,410,66,1,13.4536
10911,625,300,2021,617,298,1,8.24621
13674,240,459,1485,255,476,0,22.6716
15732,559,140,1144,555,155,0,15.5242
17452,399,525,1182,398,529,1,4.12311
19377,559,140,1166,567,143,1,8.544
21285,240,140,1184,250,143,1,10.4403
23212,400,75,1010,400,77,1,2
24964,240,140,1008,243,143,1,4.24264
26713,625,300,997,621,302,1,4.47214
28450,559,140,1529,555,150,1,10.7703
30717,175,299,993,166,300,1,9.05539
32452,240,459,1658,227,469,0,16.4012
34682,559,140,826,550,143,1,9.48683
36250,240,140,961,243,143,1,4.24264
37950,559,140,752,562,143,1,4.24264
39445,240,459,1118,243,445,0,14.3178
41137,399,525,1187,398,524,1,1.41421
43060,625,300,800,621,298,1,4.47214
44600,240,140,835,250,138,1,10.198
46172,400,75,832,405,73,1,5.38516
47741,559,140,712,567,138,1,8.24621
49193,240,140,1026,243,150,1,10.4403
50957,240,459,944,227,445,0,19.105
52475,559,140,1612,550,143,1,9.48683
54826,400,75,1006,400,77,1,2
56570,559,459,1183,543,440,0,24.8395
58329,240,140,827,238,131,1,9.21954
59894,559,140,817,555,138,1,4.47214
61454,400,75,927,400,66,1,9
63124,240,459,1138,250,476,0,19.7231
64835,400,75,753,400,84,1,9
66328,625,300,751,621,310,1,10.7703
67818,399,525,939,410,536,0,15.5563
69333,625,300,849,617,300,1,8
70923,240,459,1193,231,445,0,16.6433
72688,400,75,1045,400,73,1,2
74470,625,300,665,633,314,0,16.1245
75712,400,75,918,400,54,0,21
77205,559,459,2786,562,452,1,7.61577
80733,625,300,929,629,300,1,4
82406,559,459,1179,562,445,0,14.3178
84161,625,300,1156,617,300,1,8
86049,399,525,1430,398,517,1,8.06226
88212,240,459,2154,238,452,1,7.28011
91109,559,459,2483,550,445,0,16.6433
94652,400,75,1940,398,77,1,2.82843
97334,240,459,1535,255,464,0,15.8114
99442,240,140,1720,250,143,1,10.4403
101901,175,299,1082,173,300,1,2.23607
103721,559,140,1259,555,138,1,4.47214
105718,399,525,2224,386,524,1,13.0384
108681,625,300,1334,621,300,1,4
110753,400,75,1238,400,77,1,2
112729,625,300,921,621,302,1,4.47214
114392,559,140,1032,555,143,1,5
116167,399,525,1522,398,517,1,8.06226
118432,559,140,1246,555,131,1,9.84886
120420,400,75,1387,398,84,1,9.21954
122547,559,459,2972,555,457,1,4.47214
126256,240,459,1590,238,457,1,2.82843
128583,625,300,1402,617,300,1,8
130723,175,299,1262,173,300,1,2.23607
132723,625,300,1099,633,300,1,8
134560,399,525,1105,400,517,1,8.06226
136407,559,140,1223,555,138,1,4.47214
138375,240,459,1795,238,440,0,19.105
140742,559,459,3005,550,457,1,9.21954
144488,175,299,1198,173,300,1,2.23607
146428,399,525,1071,410,517,1,13.6015
148242,559,459,2793,555,452,1,8.06226
151777,559,140,6009,562,138,1,3.60555
158528,400,75,1408,398,77,1,2.82843
160674,240,140,1367,243,143,1,4.24264
162780,625,300,1406,610,310,0,18.0278
164758,400,75,1084,405,73,1,5.38516
166582,240,459,1468,250,469,0,14.1421
168624,240,140,1040,238,143,1,3.60555
170406,175,299,1132,173,300,1,2.23607
172280,240,459,1257,243,445,0,14.3178
174108,175,299,1732,173,300,1,2.23607
176578,240,140,1158,231,138,1,9.21954
178480,399,525,1521,400,500,0,25.02
180574,240,140,1377,238,138,1,2.82843
182690,400,75,1274,400,73,1,2
184702,559,459,2213,550,476,0,19.2354
187488,559,140,1169,550,143,1,9.48683
