"Start Time","Fri Nov 25 13:48:34 2011","13:48:33 minus 82 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
8724,"barber",0,2405,"<timeout>",1
11132,"plaster",0,2405,"<timeout>",1
13541,"essay",0,2403,"<timeout>",1
15948,"barber",3,1440,"1",1
18357,"plaster",3,855,"1",1
20767,"barber",2,901,"3",1
23175,"currency",0,901,"3",1
25585,"plaster",3,1235,"1",1
27994,"quarry",0,675,"3",1
30405,"currency",3,1424,"3",0
32815,"currency",1,1085,"3",1
35225,"currency",2,1612,"3",1
37633,"barber",0,2163,"3",1
40042,"energy",0,1978,"3",1
42452,"barber",2,848,"1",0
44861,"disturb",0,928,"3",1
47271,"energy",3,1342,"1",1
49681,"disturb",2,1765,"3",1
52090,"energy",2,1275,"3",1
54500,"sofa",0,1138,"3",1
56909,"disturb",3,1456,"1",1
59318,"sofa",2,1343,"1",0
61727,"energy",0,974,"1",0
64136,"essay",0,1085,"3",1
66546,"sofa",3,1350,"1",1
68955,"essay",2,1402,"3",1
71365,"disturb",0,2056,"3",1
73774,"sofa",3,1096,"1",1
76184,"currency",0,1142,"3",1
78593,"energy",0,1332,"1",0
81004,"plaster",0,1738,"3",1
83414,"currency",3,1408,"3",0
85826,"sofa",0,1148,"3",1
88235,"disturb",0,987,"3",1
90644,"plaster",0,1178,"1",0
93054,"plaster",1,1464,"3",1
95463,"disturb",3,1983,"3",0
97873,"sofa",0,1013,"1",0
100283,"essay",0,819,"3",1
102692,"essay",1,1154,"3",1
105102,"quarry",0,1416,"3",1
107512,"currency",0,1350,"3",1
109921,"quarry",2,1358,"1",0
112332,"essay",0,708,"1",0
114742,"quarry",2,1201,"1",0
117152,"currency",0,999,"3",1
119560,"essay",3,1038,"1",1
121968,"barber",0,2294,"3",1
124780,"currency",3,1915,"3",0
127188,"essay",3,1419,"1",1
129597,"barber",3,802,"1",1
132006,"disturb",0,961,"3",1
134417,"disturb",1,1214,"3",1
136827,"barber",3,1724,"1",1
139237,"sofa",0,1938,"3",1
141645,"disturb",3,1026,"1",1
144054,"sofa",2,1730,"3",1
146463,"barber",0,1249,"1",0
148874,"plaster",0,1109,"3",1
151282,"sofa",3,1605,"1",1
153690,"quarry",0,989,"3",1
156099,"essay",0,1173,"3",1
158508,"barber",0,692,"1",0
160919,"quarry",3,1304,"3",0
163328,"essay",3,1400,"1",1
165738,"energy",0,1470,"3",1
168147,"quarry",3,1453,"1",1
170557,"energy",2,1723,"3",1
172967,"plaster",0,1305,"3",1
175378,"quarry",3,711,"1",1
177788,"energy",3,1148,"1",1
180198,"plaster",3,850,"1",1
182606,"plaster",1,1355,"3",1
185015,"energy",3,2154,"1",1
187423,"quarry",0,1097,"1",0
