Start Time,Thu Nov 24 08-47-33 2011,Offset,08:47:34 minus 252 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 387, 189, 427, 1003, 0, 2, 1, 1, 4673, 20002, 20002,
001,2,2, 988, 777, 255, 2020, 0, 2, 1, 1, 25356, 20002, 20002,
001,2,3, 734, 354, 374, 1462, 4, 2, 1, 2, 46039, 19544, 20002,
001,2,4, 865, 521, 419, 1805, 8, 2, 1, 2, 66721, 17543, 20003,
001,2,5, 745, 965, 356, 2066, 20, 2, 1, 3, 87404, 18460, 20003,
001,2,6, 745, 912, 251, 1908, 6, 0, 0, 1, 108087, 210, 5689,
001,2,7, 848, 317, 396, 1561, 0, 2, 1, 1, 128763, 20003, 20003,
001,2,8, 446, 326, 673, 1445, 0, 2, 1, 1, 149447, 20003, 20003,
001,2,9, 699, 294, 321, 1314, 0, 2, 1, 1, 170130, 20002, 20002,
