Start Time,Thu Nov 24 08-15-23 2011,Offset,08:15:24 minus 524 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 779, 442, 244, 1465, 0, 2, 1, 1, 27240, 20003, 20003,
001,2,2, 352, 475, 516, 1343, 0, 2, 1, 1, 47925, 20004, 20004,
001,2,3, 545, 515, 143, 1203, 0, 2, 1, 1, 68609, 20003, 20003,
001,2,4, 715, 265, 387, 1367, 0, 2, 1, 1, 89294, 20003, 20003,
001,2,5, 822, 876, 635, 2333, 0, 2, 1, 1, 109976, 20003, 20003,
001,2,6, 873, 746, 834, 2453, 0, 2, 1, 1, 130659, 20003, 20003,
001,2,7, 921, 521, 375, 1817, 0, 2, 1, 1, 151341, 20003, 20003,
001,2,8, 544, 348, 423, 1315, 0, 2, 1, 1, 172024, 20003, 20003,
001,2,9, 359, 827, 849, 2035, 0, 2, 1, 1, 192707, 20003, 20003,
